year,month,day,max,min,avg,precip,norm.avg,norm.precip
2020,12,3,39.186,21.553,30.37,0,21.71,0.03
2020,12,4,41.526,21.619,31.573,0,21.28,0.03
2020,12,5,37.576,17.746,27.661,0,20.8,0.02
2020,12,6,33.132,21.551,27.342,0,20.38,0.03
2020,12,7,30.198,21.807,26.003,0,19.96,0.03
2020,12,8,39.787,24.166,31.977,0,19.54,0.03
2020,12,9,47.786,24.166,35.976,0,19.14,0.02
2020,12,10,42.199,27.021,34.61,0,18.75,0.03
2020,12,11,28.699,25.239,26.969,0,18.33,0.03
2020,12,12,28.198,21.954,25.076,0,17.96,0.03
2020,12,13,24.676,12.344,18.51,0,17.57,0.02
2020,12,14,14.342,2.588,8.465,0,17.2,0.03
2020,12,15,24.082,7.952,16.017,0,16.84,0.03
2020,12,16,26.701,10.508,18.605,0,16.48,0.03
2020,12,17,28.866,22.806,25.836,0,16.12,0.02
2020,12,18,36.268,17.829,27.049,0,15.8,0.03
2020,12,19,25.606,3.344,14.475,0,15.47,0.03
2020,12,20,34.702,15.404,25.053,0,15.13,0.02
2020,12,21,36.183,11.696,23.94,0,14.82,0.03
2020,12,22,42.251,13.91,28.081,0,14.52,0.03
2020,12,23,34.327,-1.606,16.361,0,14.21,0.02
2020,12,24,2.804,-8.14,-2.668,0,13.93,0.02
2020,12,25,25.738,-8.23,8.754,0,13.67,0.02
2020,12,26,24.886,6.116,15.501,0,13.38,0.02
2020,12,27,22.381,7.232,14.807,0,13.13,0.02
2020,12,28,19.364,-11.488,3.938,0,12.88,0.02
2020,12,29,21.274,-11.146,5.064,0,12.63,0.03
2020,12,30,19.875,-4.792,7.542,0,12.41,0.02
2020,12,31,22.329,2.3,12.315,0,12.17,0.02
2021,1,1,22.228,1.31,11.769,0,11.97,0.02
2021,1,2,28.443,14.846,21.645,0,11.75,0.02
2021,1,3,29.851,8.474,19.163,0,11.59,0.02
2021,1,4,35.964,11.786,23.875,0,11.39,0.02
2021,1,5,27.617,2.39,15.004,0,11.24,0.02
2021,1,6,31.291,19.762,25.527,0,11.07,0.02
2021,1,7,20.725,11.822,16.274,0,10.91,0.02
2021,1,8,18.001,10.346,14.174,0,10.75,0.02
2021,1,9,26.355,-2.668,11.844,0,10.61,0.02
2021,1,10,30.92,18.838,24.879,0,10.5,0.02
2021,1,11,29.757,11.66,20.709,0,10.39,0.02
2021,1,12,34.569,8.384,21.477,0,10.29,0.02
2021,1,13,40.978,22.721,31.85,0,10.17,0.02
2021,1,14,38.903,29.093,33.998,0,10.12,0.02
2021,1,15,32.151,19.836,25.994,0,10.05,0.02
2021,1,16,21.02,16.502,18.761,0,10,0.02
2021,1,17,24.337,12.2,18.269,0,9.95,0.02
2021,1,18,19.661,10.67,15.166,0,9.92,0.02
2021,1,19,10.76,-6.628,2.066,0,9.9,0.02
2021,1,20,39.106,-1.264,18.921,0,9.89,0.02
2021,1,21,30.796,2.426,16.611,0,9.91,0.02
2021,1,22,17.186,-4.882,6.152,0,9.91,0.02
2021,1,23,22.041,7.826,14.934,0,9.92,0.02
2021,1,24,19.193,2.408,10.801,0,9.98,0.02
2021,1,25,13.946,3.56,8.753,0,10.03,0.02
2021,1,26,14.81,5.45,10.13,0,10.12,0.02
2021,1,27,10.004,4.586,7.295,0,10.18,0.01
2021,1,28,19.024,4.514,11.769,0,10.3,0.02
2021,1,29,21.967,15.998,18.983,0,10.42,0.02
2021,1,30,28.371,21.281,24.826,0,10.53,0.02
2021,1,31,27.486,22.806,25.146,0,10.66,0.02
2021,2,1,23.486,18.511,20.999,0,10.84,0.02
2021,2,2,21.189,16.214,18.702,0,11.01,0.02
2021,2,3,28.373,16.988,22.681,0,11.19,0.02
2021,2,4,27.777,1.832,14.805,0,11.38,0.02
2021,2,5,5.864,-3.154,1.355,0,11.59,0.02
2021,2,6,-2.74,-15.88,-9.31,0,11.81,0.02
2021,2,7,-7.51,-21.334,-14.422,0,12.04,0.02
2021,2,8,-3.64,-22.864,-13.252,0,12.3,0.02
2021,2,9,2.408,-14.53,-6.061,0,12.56,0.02
2021,2,10,-0.814,-16.564,-8.689,0,12.83,0.02
