exp,site,plot_code,trt_code,program,line,count_0.5m_1,count_0.5m_2,vis_rating
VAR23,Waseca,3110,10,MN,1903,,,
VAR23,Waseca,3111,8,MN,1901,,,
VAR23,Waseca,3112,3,MN,1605,,,
VAR23,Waseca,3113,6,MN,1802,,,
VAR23,Waseca,3114,20,TLI,1001,,,
VAR23,Waseca,3115,18,TLI,801,,,
VAR23,Waseca,3116,5,MN,2206,,,
VAR23,Waseca,3117,1,MN,1504,,,
VAR23,Waseca,3118,7,MN,1803,,,
VAR23,Waseca,3119,2,MN,1603,,,
VAR23,Waseca,3120,11,MN,1904,,,
VAR23,Waseca,3201,11,MN,1904,,,
VAR23,Waseca,3202,13,MN,2201,,,
VAR23,Waseca,3203,17,TLI,701,,,
VAR23,Waseca,3204,16,MN,2204,,,
VAR23,Waseca,3205,10,MN,1903,,,
VAR23,Waseca,3206,9,MN,1902,,,
VAR23,Waseca,3207,14,MN,2202,,,
VAR23,Waseca,3208,3,MN,1605,,,
VAR23,Waseca,3209,8,MN,1901,,,
VAR23,Waseca,3210,7,MN,1803,,,
VAR23,Waseca,3211,1,MN,1504,,,
VAR23,Waseca,3212,5,MN,2206,,,
VAR23,Waseca,3213,2,MN,1603,,,
VAR23,Waseca,3214,15,MN,2203,,,
VAR23,Waseca,3215,4,MN,2205,,,
VAR23,Waseca,3216,20,TLI,1001,,,
VAR23,Waseca,3217,18,TLI,801,,,
VAR23,Waseca,3218,12,MN,1905,,,
VAR23,Waseca,3219,6,MN,1802,,,
VAR23,Waseca,3220,19,TLI,704,,,
VAR23,Waseca,3301,9,MN,1902,,,
VAR23,Waseca,3302,19,TLI,704,,,
VAR23,Waseca,3303,8,MN,1901,,,
VAR23,Waseca,3304,7,MN,1803,,,
VAR23,Waseca,3305,4,MN,2205,,,
VAR23,Waseca,3306,20,TLI,1001,,,
VAR23,Waseca,3307,12,MN,1905,,,
VAR23,Waseca,3308,16,MN,2204,,,
VAR23,Waseca,3309,10,MN,1903,,,
VAR23,Waseca,3310,3,MN,1605,,,
VAR23,Waseca,3311,5,MN,2206,,,
VAR23,Waseca,3312,15,MN,2203,,,
VAR23,Waseca,3313,2,MN,1603,,,
VAR23,Waseca,3314,17,TLI,701,,,
VAR23,Waseca,3315,6,MN,1802,,,
VAR23,Waseca,3316,14,MN,2202,,,
VAR23,Waseca,3317,18,TLI,801,,,
VAR23,Waseca,3318,13,MN,2201,,,
VAR23,Waseca,3319,1,MN,1504,,,
VAR23,Waseca,3320,11,MN,1904,,,
VAR23,Waseca,3401,15,MN,2203,,,
